fase,match_id,grupo,fecha,equipo_1,equipo_2,goles_1,goles_2,ganador,metodo,slot_1,slot_2,sede
GRUPOS,,A,2026-06-11,Mexico,South Africa,2,0,Mexico,90min,Mexico,South Africa,Mexico City
GRUPOS,,A,2026-06-11,South Korea,Czech Republic,2,1,South Korea,90min,South Korea,Czech Republic,Guadalajara
GRUPOS,,A,2026-06-18,Czech Republic,South Africa,2,1,Czech Republic,90min,Czech Republic,South Africa,Atlanta
GRUPOS,,A,2026-06-18,Mexico,South Korea,2,2,,90min,Mexico,South Korea,Guadalajara
GRUPOS,,A,2026-06-24,Czech Republic,Mexico,0,1,Mexico,90min,Czech Republic,Mexico,Mexico City
GRUPOS,,A,2026-06-24,South Africa,South Korea,2,4,South Korea,90min,South Africa,South Korea,Monterrey
GRUPOS,,B,2026-06-12,Canada,Bosnia & Herzegovina,1,1,,90min,Canada,Bosnia & Herzegovina,Toronto
GRUPOS,,B,2026-06-13,Qatar,Switzerland,0,1,Switzerland,90min,Qatar,Switzerland,San Francisco Bay Area
GRUPOS,,B,2026-06-18,Switzerland,Bosnia & Herzegovina,2,1,Switzerland,90min,Switzerland,Bosnia & Herzegovina,Los Angeles
GRUPOS,,B,2026-06-18,Canada,Qatar,0,3,Qatar,90min,Canada,Qatar,Vancouver
GRUPOS,,B,2026-06-24,Switzerland,Canada,0,1,Canada,90min,Switzerland,Canada,Vancouver
GRUPOS,,B,2026-06-24,Bosnia & Herzegovina,Qatar,1,2,Qatar,90min,Bosnia & Herzegovina,Qatar,Seattle
GRUPOS,,C,2026-06-13,Brazil,Morocco,3,2,Brazil,90min,Brazil,Morocco,New York/New Jersey
GRUPOS,,C,2026-06-13,Haiti,Scotland,0,1,Scotland,90min,Haiti,Scotland,Boston
GRUPOS,,C,2026-06-19,Scotland,Morocco,1,2,Morocco,90min,Scotland,Morocco,Boston
GRUPOS,,C,2026-06-19,Brazil,Haiti,1,0,Brazil,90min,Brazil,Haiti,Philadelphia
GRUPOS,,C,2026-06-24,Scotland,Brazil,1,4,Brazil,90min,Scotland,Brazil,Miami
GRUPOS,,C,2026-06-24,Morocco,Haiti,5,0,Morocco,90min,Morocco,Haiti,Atlanta
GRUPOS,,D,2026-06-12,United States,Paraguay,3,2,United States,90min,United States,Paraguay,Los Angeles
GRUPOS,,D,2026-06-13,Australia,Turkey,0,0,,90min,Australia,Turkey,Vancouver
GRUPOS,,D,2026-06-19,United States,Australia,1,0,United States,90min,United States,Australia,Seattle
GRUPOS,,D,2026-06-19,Turkey,Paraguay,3,4,Paraguay,90min,Turkey,Paraguay,San Francisco Bay Area
GRUPOS,,D,2026-06-25,Turkey,United States,0,0,,90min,Turkey,United States,Los Angeles
GRUPOS,,D,2026-06-25,Paraguay,Australia,1,1,,90min,Paraguay,Australia,San Francisco Bay Area
GRUPOS,,E,2026-06-14,Germany,Curaçao,4,0,Germany,90min,Germany,Curaçao,Houston
GRUPOS,,E,2026-06-14,Ivory Coast,Ecuador,0,2,Ecuador,90min,Ivory Coast,Ecuador,Philadelphia
GRUPOS,,E,2026-06-20,Germany,Ivory Coast,2,0,Germany,90min,Germany,Ivory Coast,Toronto
GRUPOS,,E,2026-06-20,Ecuador,Curaçao,2,0,Ecuador,90min,Ecuador,Curaçao,Kansas City
GRUPOS,,E,2026-06-25,Curaçao,Ivory Coast,0,2,Ivory Coast,90min,Curaçao,Ivory Coast,Philadelphia
GRUPOS,,E,2026-06-25,Ecuador,Germany,1,2,Germany,90min,Ecuador,Germany,New York/New Jersey
GRUPOS,,F,2026-06-14,Netherlands,Japan,2,1,Netherlands,90min,Netherlands,Japan,Dallas
GRUPOS,,F,2026-06-14,Sweden,Tunisia,3,2,Sweden,90min,Sweden,Tunisia,Monterrey
GRUPOS,,F,2026-06-20,Netherlands,Sweden,3,0,Netherlands,90min,Netherlands,Sweden,Houston
GRUPOS,,F,2026-06-20,Tunisia,Japan,6,5,Tunisia,90min,Tunisia,Japan,Monterrey
GRUPOS,,F,2026-06-25,Japan,Sweden,2,1,Japan,90min,Japan,Sweden,Dallas
GRUPOS,,F,2026-06-25,Tunisia,Netherlands,2,3,Netherlands,90min,Tunisia,Netherlands,Kansas City
GRUPOS,,G,2026-06-15,Belgium,Egypt,2,0,Belgium,90min,Belgium,Egypt,Seattle
GRUPOS,,G,2026-06-15,Iran,New Zealand,3,3,,90min,Iran,New Zealand,Los Angeles
