equipo,racha_reciente,goles_favor_avg,goles_contra_avg,diferencia_goles,veces_penales,gano_penales_pct,ranking_fifa,es_local,confederacion,confederacion_cod,interes_google,gano
Belgium,0.4,,,,2,1.0,9.0,0,UEFA,1,1.2,0
France,0.6,,,,11,0.45454545454545453,1.0,0,UEFA,1,4.6,1
Brazil,0.3,,,,16,0.5625,6.0,0,CONMEBOL,2,5.5,1
Argentina,0.6,,,,23,0.6521739130434783,3.0,0,CONMEBOL,2,4.7,1
Paraguay,0.3,,,,13,0.46153846153846156,40.0,0,CONMEBOL,2,10.0,0
Uruguay,0.2,,,,17,0.5294117647058824,17.0,0,CONMEBOL,2,0.9,1
Sweden,0.2,,,,6,0.6666666666666666,38.0,0,UEFA,1,10.0,0
Switzerland,0.3,,,,8,0.25,19.0,0,UEFA,1,0.6,0
Haiti,0.3,,,,2,0.5,83.0,0,CONCACAF,3,10.0,0
Mexico,0.3,,,,14,0.5,15.0,1,CONCACAF,3,3.0,0
Spain,0.5,,,,14,0.5,2.0,0,UEFA,1,4.1,1
Egypt,0.3,,,,26,0.5769230769230769,29.0,0,CAF,4,10.0,0
Portugal,0.4,,,,8,0.625,5.0,0,UEFA,1,6.0,0
Netherlands,0.5,,,,10,0.2,7.0,0,UEFA,1,1.2,0
Austria,0.5,,,,2,0.0,24.0,0,UEFA,1,10.0,0
Germany,0.7,,,,8,0.75,10.0,0,UEFA,1,2.8,1
Norway,0.4,,,,0,0.5,31.0,0,UEFA,1,10.0,0
United States,0.4,,,,10,0.6,,1,CONCACAF,3,0.4,0
Scotland,0.4,,,,2,1.0,43.0,0,UEFA,1,10.0,0
England,0.5,,,,12,0.3333333333333333,4.0,0,UEFA,1,4.7,1
Turkey,0.5,,,,1,1.0,,0,UEFA,1,10.0,0
Japan,0.5,,,,12,0.4166666666666667,18.0,0,AFC,5,1.9,0
South Korea,0.3,,,,25,0.6,,0,AFC,5,0.6,0
Colombia,0.4,,,,12,0.5833333333333334,13.0,0,CONMEBOL,2,10.0,0
Canada,0.2,,,,8,0.375,30.0,1,CONCACAF,3,1.0,0
Curaçao,0.3,,,,2,0.0,82.0,0,UEFA,1,10.0,0
Ghana,0.3,,,,13,0.38461538461538464,74.0,0,CAF,4,10.0,0
Morocco,0.5,,,,14,0.42857142857142855,8.0,0,CAF,4,3.8,0
Tunisia,0.3,,,,13,0.5384615384615384,44.0,0,CAF,4,10.0,0
Ecuador,0.2,,,,4,0.5,23.0,0,CONMEBOL,2,10.0,0
Australia,0.4,,,,8,0.625,27.0,0,AFC,5,1.0,0
Algeria,0.5,,,,15,0.4666666666666667,28.0,0,CAF,4,10.0,0
Senegal,0.6,,,,21,0.5238095238095238,14.0,0,CAF,4,2.3,0
DR Congo,0.4,,,,8,0.625,,0,UEFA,1,10.0,0
Ivory Coast,0.5,,,,18,0.5555555555555556,,0,CAF,4,10.0,0
New Zealand,0.1,,,,4,0.25,85.0,0,OFC,6,10.0,0
Iraq,0.4,,,,15,0.7333333333333333,57.0,0,AFC,5,10.0,0
Iran,0.3,,,,23,0.43478260869565216,,0,AFC,5,10.0,0
Saudi Arabia,0.3,,,,9,0.7777777777777778,61.0,0,AFC,5,10.0,0
Qatar,0.1,,,,9,0.5555555555555556,55.0,0,AFC,5,10.0,0
Jordan,0.4,,,,3,0.0,63.0,0,AFC,5,10.0,0
Panama,0.3,,,,7,0.7142857142857143,33.0,0,CONCACAF,3,10.0,0
South Africa,0.3,,,,28,0.4642857142857143,60.0,0,CAF,4,10.0,0
Czech Republic,0.2,,,,4,0.75,,0,UEFA,1,10.0,0
Bosnia and Herzegovina,0.2,,,,4,0.75,65.0,0,UEFA,1,10.0,0
Croatia,0.5,,,,11,0.6363636363636364,11.0,0,UEFA,1,0.8,0
Uzbekistan,0.3,,,,5,0.4,50.0,0,AFC,5,10.0,0
Cape Verde,0.2,,,,5,0.4,,0,UEFA,1,10.0,0
