,equipo,proba_final,proba_logistica,proba_rf,proba_xgb,confederacion,proba_final_%,proba_logistica_%,proba_rf_%,proba_xgb_%
1,France,0.966562917437974,0.9977376969140996,0.9184370746253429,0.98586106,UEFA,96.7%,99.8%,91.8%,98.6%
2,Spain,0.9448132289291913,0.9789611117329416,0.8846334096951232,0.97444963,UEFA,94.5%,97.9%,88.5%,97.4%
3,Argentina,0.9291496090777862,0.9077038157911085,0.8948295461724508,0.9926369,CONMEBOL,92.9%,90.8%,89.5%,99.3%
4,England,0.8621476386063267,0.8448068257633251,0.7945983336842416,0.95879185,UEFA,86.2%,84.5%,79.5%,95.9%
5,Brazil,0.7603211078391279,0.6224343173319644,0.7086986850634084,0.9760701,CONMEBOL,76.0%,62.2%,70.9%,97.6%
6,Germany,0.7577047729433204,0.6996775269864733,0.663613769858816,0.93088555,UEFA,75.8%,70.0%,66.4%,93.1%
7,Uruguay,0.6716316930337963,0.5508364772804659,0.576064514290562,0.917952,CONMEBOL,67.2%,55.1%,57.6%,91.8%
8,Portugal,0.49037200393823005,0.7565760854256026,0.3949957918593705,0.29589105,UEFA,49.0%,75.7%,39.5%,29.6%
9,Netherlands,0.4864982256926699,0.7822323517268349,0.42909391549815773,0.21516891,UEFA,48.6%,78.2%,42.9%,21.5%
10,Belgium,0.45387461428241915,0.8121973317346356,0.3911108474856744,0.11739212,UEFA,45.4%,81.2%,39.1%,11.7%
11,Croatia,0.4318966456547335,0.7445352277289169,0.383535869954111,0.13102654,UEFA,43.2%,74.5%,38.4%,13.1%
12,Morocco,0.2840320168864247,0.40951312698479264,0.23688792565183106,0.19484834,CAF,28.4%,41.0%,23.7%,19.5%
13,Switzerland,0.27140101630503033,0.5876715316149604,0.1708891299543782,0.025768116,UEFA,27.1%,58.8%,17.1%,2.6%
14,Senegal,0.2358689794913309,0.35281671366434336,0.22102466563965234,0.11962816,CAF,23.6%,35.3%,22.1%,12.0%
15,Colombia,0.12434221534399251,0.18894954294938218,0.1536625896893538,0.01740914,CONMEBOL,12.4%,18.9%,15.4%,1.7%
16,Mexico,0.12322590664653502,0.10451208305372371,0.19450715671753166,0.06337991,CONCACAF,12.3%,10.5%,19.5%,6.3%
17,South Korea,0.12172319070420198,0.265690262344499,0.059009248708462615,0.029219627,AFC,12.2%,26.6%,5.9%,2.9%
18,Japan,0.10640083560300492,0.23988065976258113,0.05173069021452318,0.016679049,AFC,10.6%,24.0%,5.2%,1.7%
19,Australia,0.10558610405478243,0.25585882951566147,0.038049763792821656,0.011393912,AFC,10.6%,25.6%,3.8%,1.1%
20,Turkey,0.09800533682911372,0.20901951501386526,0.06108253091153853,0.01365516,UEFA,9.8%,20.9%,6.1%,1.4%
21,Czech Republic,0.07353312104447601,0.17837645588169523,0.020855555801047584,0.014144399,UEFA,7.4%,17.8%,2.1%,1.4%
22,Scotland,0.0689003772405955,0.18013698385109797,0.013452110944464104,0.0053874976,UEFA,6.9%,18.0%,1.3%,0.5%
23,Ecuador,0.06751885096180746,0.12397654170986404,0.056924808065812314,0.015304853,CONMEBOL,6.8%,12.4%,5.7%,1.5%
24,Austria,0.06569257796558173,0.12466396934589172,0.057032164860714635,0.008415464,UEFA,6.6%,12.5%,5.7%,0.8%
25,United States,0.06504202781514777,0.12922964503278564,0.04573811045093881,0.013943662,CONCACAF,6.5%,12.9%,4.6%,1.4%
26,DR Congo,0.06358726312975972,0.16838745969102573,0.010731342581220011,0.004450703,UEFA,6.4%,16.8%,1.1%,0.4%
27,Sweden,0.06256700439233195,0.15192675156739302,0.016393414727389657,0.013401225,UEFA,6.3%,15.2%,1.6%,1.3%
28,Cape Verde,0.060921021706249065,0.14575711634442806,0.02178955388729899,0.008888062,UEFA,6.1%,14.6%,2.2%,0.9%
29,Canada,0.06067839957827993,0.09558101153358171,0.04858856408731657,0.03470693,CONCACAF,6.1%,9.6%,4.9%,3.5%
30,Norway,0.05911788522987093,0.14957932035952742,0.017062874941508974,0.0040090326,UEFA,5.9%,15.0%,1.7%,0.4%
31,Bosnia and Herzegovina,0.05910764386878659,0.14040550424394682,0.01730452583850077,0.014144399,UEFA,5.9%,14.0%,1.7%,1.4%
32,Paraguay,0.04873510380691382,0.09795195661303455,0.03322493240143409,0.010361344,CONMEBOL,4.9%,9.8%,3.3%,1.0%
33,Ivory Coast,0.04314009027622352,0.06380545366299041,0.023314077387191833,0.042184524,CAF,4.3%,6.4%,2.3%,4.2%
34,Panama,0.03676912302353707,0.08912894355255498,0.0072645298758530884,0.010749326,CONCACAF,3.7%,8.9%,0.7%,1.1%
35,Curaçao,0.03562037594412329,0.08593996282061787,0.011003459552668753,0.0063588745,UEFA,3.6%,8.6%,1.1%,0.6%
