rank,pais,codigo_pais,confederacion,puntos,puntos_previos,posicion_previa,movimiento,partidos,fecha_publicacion,proxima_publicacion
1,France,FRA,UEFA,1877.32,1870.0,3,2,50,2026-04-01T13:00:00+00:00,
2,Spain,ESP,UEFA,1876.4,1877.18,1,-1,49,2026-04-01T13:00:00+00:00,
3,Argentina,ARG,CONMEBOL,1874.81,1873.33,2,-1,49,2026-04-01T13:00:00+00:00,
4,England,ENG,UEFA,1825.97,1834.12,4,0,50,2026-04-01T13:00:00+00:00,
5,Portugal,POR,UEFA,1763.83,1760.38,6,1,49,2026-04-01T13:00:00+00:00,
6,Brazil,BRA,CONMEBOL,1761.16,1760.46,5,-1,44,2026-04-01T13:00:00+00:00,
7,Netherlands,NED,UEFA,1757.87,1756.27,7,0,49,2026-04-01T13:00:00+00:00,
8,Morocco,MAR,CAF,1755.87,1736.57,8,0,69,2026-04-01T13:00:00+00:00,
9,Belgium,BEL,UEFA,1734.71,1730.71,9,0,46,2026-04-01T13:00:00+00:00,
10,Germany,GER,UEFA,1730.37,1724.15,10,0,47,2026-04-01T13:00:00+00:00,
11,Croatia,CRO,UEFA,1717.07,1716.88,11,0,49,2026-04-01T13:00:00+00:00,
12,Italy,ITA,UEFA,1700.37,1702.06,13,1,45,2026-04-01T13:00:00+00:00,
13,Colombia,COL,CONMEBOL,1693.09,1701.3,14,1,45,2026-04-01T13:00:00+00:00,
14,Senegal,SEN,CAF,1688.99,1706.83,12,-2,71,2026-04-01T13:00:00+00:00,
15,Mexico,MEX,CONCACAF,1681.03,1675.75,16,1,61,2026-04-01T13:00:00+00:00,
16,USA,USA,CONCACAF,1673.13,1681.88,15,-1,61,2026-04-01T13:00:00+00:00,
17,Uruguay,URU,CONMEBOL,1673.07,1672.62,17,0,43,2026-04-01T13:00:00+00:00,
18,Japan,JPN,AFC,1660.43,1650.12,19,1,55,2026-04-01T13:00:00+00:00,
19,Switzerland,SUI,UEFA,1649.4,1654.69,18,-1,48,2026-04-01T13:00:00+00:00,
20,Denmark,DEN,UEFA,1620.81,1616.75,21,1,45,2026-04-01T13:00:00+00:00,
21,IR Iran,IRN,AFC,1615.3,1617.02,20,-1,46,2026-04-01T13:00:00+00:00,
