Grupo,partidos,temp_promedio,lluvia_promedio,viento_promedio,stress_promedio,prob_empate_promedio,goles_esperados_promedio,riesgo_climatico_grupo
F,6,28.333333333333332,6.608333333333334,20.224999999999998,0.4433371913580247,0.29980069444444446,2.3453302469135804,medio
H,6,25.619444444444444,4.2250000000000005,17.505555555555556,0.3205439814814815,0.27769791666666666,2.4435648148148146,medio
K,6,24.969444444444445,4.044444444444444,18.669444444444444,0.3105246913580247,0.27589444444444444,2.4515802469135806,medio
J,6,24.51388888888889,1.6083333333333334,19.45,0.23107638888888893,0.26159375,2.515138888888889,bajo
L,6,23.188888888888886,2.9333333333333336,21.125,0.218912037037037,0.25940416666666666,2.5248703703703703,bajo
C,6,23.322222222222223,2.783333333333333,18.872222222222224,0.19462962962962962,0.25503333333333333,2.5442962962962965,bajo
E,6,24.48888888888889,1.9194444444444443,17.991666666666664,0.19275077160493825,0.2546951388888889,2.5457993827160497,bajo
I,6,21.675,3.6611111111111114,20.28611111111111,0.1796643518518518,0.25233958333333334,2.5562685185185186,bajo
A,6,22.98888888888889,2.0722222222222224,18.122222222222224,0.17276234567901236,0.25109722222222225,2.5617901234567904,bajo
B,6,17.608333333333334,1.6805555555555554,18.455555555555556,0.07922453703703702,0.23426041666666667,2.6366203703703706,bajo
D,6,18.122222222222224,0.6666666666666666,19.491666666666664,0.04811728395061728,0.2286611111111111,2.6615061728395064,bajo
G,6,18.46666666666667,1.0,16.92222222222222,0.04237654320987655,0.22762777777777776,2.6660987654320993,bajo
