Grupo,partidos,temp_promedio,lluvia_promedio,viento_promedio,stress_promedio,prob_empate_promedio,goles_esperados_promedio,riesgo_climatico_grupo
3P,1,28.333333333333332,4.066666666666666,18.650000000000002,0.42361111111111105,0.29625,2.361111111111111,medio
F,7,27.86190476190476,5.790476190476191,19.85238095238095,0.40279100529100526,0.29250238095238096,2.3777671957671958,medio
SF,2,28.666666666666664,1.9416666666666664,19.525,0.386423611111111,0.28955624999999996,2.3908611111111115,medio
H,6,25.619444444444444,4.2250000000000005,17.505555555555556,0.3205439814814815,0.27769791666666666,2.4435648148148146,medio
K,6,24.969444444444445,4.044444444444444,18.669444444444444,0.3105246913580247,0.27589444444444444,2.4515802469135806,medio
R16,8,23.666666666666668,5.095833333333333,16.183333333333334,0.3002256944444444,0.27404062500000004,2.459819444444445,medio
QF,4,25.2125,4.5625,18.1625,0.29213541666666665,0.272584375,2.4662916666666668,medio
R32,16,23.682291666666668,3.74375,17.670833333333334,0.23194010416666666,0.26174921875,2.5144479166666667,bajo
J,6,24.51388888888889,1.6083333333333334,19.45,0.23107638888888893,0.26159375,2.515138888888889,bajo
C,6,23.602777777777778,3.2222222222222228,18.92222222222222,0.22333333333333336,0.2602,2.521333333333333,bajo
E,6,24.933333333333334,2.1444444444444444,18.519444444444442,0.22161265432098765,0.2598902777777778,2.52270987654321,bajo
L,6,23.019444444444446,3.1527777777777772,20.780555555555555,0.21625385802469133,0.2589256944444444,2.526996913580247,bajo
I,6,21.852777777777778,3.283333333333333,20.330555555555552,0.1733989197530864,0.25121180555555556,2.561280864197531,bajo
A,6,22.98888888888889,2.0722222222222224,18.122222222222224,0.17276234567901236,0.25109722222222225,2.5617901234567904,bajo
B,6,17.608333333333334,1.6805555555555554,18.455555555555556,0.07922453703703702,0.23426041666666667,2.6366203703703706,bajo
D,6,18.122222222222224,0.6666666666666666,19.491666666666664,0.04811728395061728,0.2286611111111111,2.6615061728395064,bajo
G,6,18.46666666666667,1.0,16.92222222222222,0.04237654320987655,0.22762777777777776,2.6660987654320993,bajo
